Pcode,Nov2014_Class
MLI006001,2
MLI006002,2
MLI006003,2
MLI006004,2
MLI006005,2
MLI008001,2
MLI008002,2
MLI008003,1
MLI008004,2
MLI002001,1
MLI002002,1
MLI002003,1
MLI002004,1
MLI002005,1
MLI002006,1
MLI002007,1
MLI001001,1
MLI001002,1
MLI001003,1
MLI001004,1
MLI001005,1
MLI001006,1
MLI001007,1
MLI004001,1
MLI004002,1
MLI004003,1
MLI004004,1
MLI004005,1
MLI004006,1
MLI004007,2
MLI003001,1
MLI003002,1
MLI003003,1
MLI003004,1
MLI003005,1
MLI003006,1
MLI003007,1
MLI007001,2
MLI007002,2
MLI007003,1
MLI007004,2
MLI005001,1
MLI005002,1
MLI005003,1
MLI005004,1
MLI005005,1
MLI005006,1
MLI005007,1
MLI005008,1
MLI009001,0
